Year,Gebietseinheit,sex,GeoCode,Value
1998,Braunschweig-Stadt,,K03101,12182
1998,Braunschweig-Stadt,maennlich,K03101,6649
1998,Braunschweig-Stadt,weiblich,K03101,5533
1999,Braunschweig-Stadt,,K03101,11819
1999,Braunschweig-Stadt,maennlich,K03101,6366
1999,Braunschweig-Stadt,weiblich,K03101,5453
2000,Braunschweig-Stadt,,K03101,11657
2000,Braunschweig-Stadt,maennlich,K03101,6280
2000,Braunschweig-Stadt,weiblich,K03101,5377
2001,Braunschweig-Stadt,,K03101,11581
2001,Braunschweig-Stadt,maennlich,K03101,6188
2001,Braunschweig-Stadt,weiblich,K03101,5393
2002,Braunschweig-Stadt,,K03101,11133
2002,Braunschweig-Stadt,maennlich,K03101,5871
2002,Braunschweig-Stadt,weiblich,K03101,5262
2003,Braunschweig-Stadt,,K03101,10913
2003,Braunschweig-Stadt,maennlich,K03101,5752
2003,Braunschweig-Stadt,weiblich,K03101,5161
2004,Braunschweig-Stadt,,K03101,10665
2004,Braunschweig-Stadt,maennlich,K03101,5578
2004,Braunschweig-Stadt,weiblich,K03101,5087
2005,Braunschweig-Stadt,,K03101,10721
2005,Braunschweig-Stadt,maennlich,K03101,5572
2005,Braunschweig-Stadt,weiblich,K03101,5149
2006,Braunschweig-Stadt,,K03101,10474
2006,Braunschweig-Stadt,maennlich,K03101,5396
2006,Braunschweig-Stadt,weiblich,K03101,5078
2007,Braunschweig-Stadt,,K03101,10224
2007,Braunschweig-Stadt,maennlich,K03101,5189
2007,Braunschweig-Stadt,weiblich,K03101,5035
2008,Braunschweig-Stadt,,K03101,10191
2008,Braunschweig-Stadt,maennlich,K03101,5196
2008,Braunschweig-Stadt,weiblich,K03101,4995
2009,Braunschweig-Stadt,,K03101,10062
2009,Braunschweig-Stadt,maennlich,K03101,5160
2009,Braunschweig-Stadt,weiblich,K03101,4902
2010,Braunschweig-Stadt,,K03101,9810
2010,Braunschweig-Stadt,maennlich,K03101,4963
2010,Braunschweig-Stadt,weiblich,K03101,4847
2011,Braunschweig-Stadt,,K03101,9804
2011,Braunschweig-Stadt,maennlich,K03101,4942
2011,Braunschweig-Stadt,weiblich,K03101,4862
2012,Braunschweig-Stadt,,K03101,9918
2012,Braunschweig-Stadt,maennlich,K03101,5007
2012,Braunschweig-Stadt,weiblich,K03101,4911
2013,Braunschweig-Stadt,,K03101,10596
2013,Braunschweig-Stadt,maennlich,K03101,5454
2013,Braunschweig-Stadt,weiblich,K03101,5142
2014,Braunschweig-Stadt,,K03101,11620
2014,Braunschweig-Stadt,maennlich,K03101,6074
2014,Braunschweig-Stadt,weiblich,K03101,5546
2015,Braunschweig-Stadt,,K03101,13554
2015,Braunschweig-Stadt,maennlich,K03101,7267
2015,Braunschweig-Stadt,weiblich,K03101,6287
2016,Braunschweig-Stadt,,K03101,16885
2016,Braunschweig-Stadt,maennlich,K03101,9265
2016,Braunschweig-Stadt,weiblich,K03101,7620
2017,Braunschweig-Stadt,,K03101,18835
2017,Braunschweig-Stadt,maennlich,K03101,10280
2017,Braunschweig-Stadt,weiblich,K03101,8560
2018,Braunschweig-Stadt,,K03101,19850
2018,Braunschweig-Stadt,maennlich,K03101,10805
2018,Braunschweig-Stadt,weiblich,K03101,9045
1978,Wolfsburg-Stadt,,K03103,10650
1978,Wolfsburg-Stadt,maennlich,K03103,6944
1978,Wolfsburg-Stadt,weiblich,K03103,3706
1979,Wolfsburg-Stadt,,K03103,10997
1979,Wolfsburg-Stadt,maennlich,K03103,7193
1979,Wolfsburg-Stadt,weiblich,K03103,3804
1980,Wolfsburg-Stadt,,K03103,11793
1980,Wolfsburg-Stadt,maennlich,K03103,7758
1980,Wolfsburg-Stadt,weiblich,K03103,4035
1981,Wolfsburg-Stadt,,K03103,12106
1981,Wolfsburg-Stadt,maennlich,K03103,7841
1981,Wolfsburg-Stadt,weiblich,K03103,4265
1982,Wolfsburg-Stadt,,K03103,12045
1982,Wolfsburg-Stadt,maennlich,K03103,7685
1982,Wolfsburg-Stadt,weiblich,K03103,4360
1983,Wolfsburg-Stadt,,K03103,11475
1983,Wolfsburg-Stadt,maennlich,K03103,7268
1983,Wolfsburg-Stadt,weiblich,K03103,4207
1984,Wolfsburg-Stadt,,K03103,10870
1984,Wolfsburg-Stadt,maennlich,K03103,6726
1984,Wolfsburg-Stadt,weiblich,K03103,4144
1985,Wolfsburg-Stadt,,K03103,10812
1985,Wolfsburg-Stadt,maennlich,K03103,6632
1985,Wolfsburg-Stadt,weiblich,K03103,4180
1986,Wolfsburg-Stadt,,K03103,11310
1986,Wolfsburg-Stadt,maennlich,K03103,6900
1986,Wolfsburg-Stadt,weiblich,K03103,4410
1987,Wolfsburg-Stadt,,K03103,11188
1987,Wolfsburg-Stadt,maennlich,K03103,6696
1987,Wolfsburg-Stadt,weiblich,K03103,4492
1990,Wolfsburg-Stadt,,K03103,11302
1990,Wolfsburg-Stadt,maennlich,K03103,6607
1990,Wolfsburg-Stadt,weiblich,K03103,4695
1991,Wolfsburg-Stadt,,K03103,11803
1991,Wolfsburg-Stadt,maennlich,K03103,6885
1991,Wolfsburg-Stadt,weiblich,K03103,4918
1992,Wolfsburg-Stadt,,K03103,12383
1992,Wolfsburg-Stadt,maennlich,K03103,7154
1992,Wolfsburg-Stadt,weiblich,K03103,5229
1993,Wolfsburg-Stadt,,K03103,11867
1993,Wolfsburg-Stadt,maennlich,K03103,6848
1993,Wolfsburg-Stadt,weiblich,K03103,5019
1994,Wolfsburg-Stadt,,K03103,11537
1994,Wolfsburg-Stadt,maennlich,K03103,6543
1994,Wolfsburg-Stadt,weiblich,K03103,4994
1995,Wolfsburg-Stadt,,K03103,11792
1995,Wolfsburg-Stadt,maennlich,K03103,6659
1995,Wolfsburg-Stadt,weiblich,K03103,5133
1996,Wolfsburg-Stadt,,K03103,11885
1996,Wolfsburg-Stadt,maennlich,K03103,6685
1996,Wolfsburg-Stadt,weiblich,K03103,5200
1997,Wolfsburg-Stadt,,K03103,11482
1997,Wolfsburg-Stadt,maennlich,K03103,6413
1997,Wolfsburg-Stadt,weiblich,K03103,5069
1998,Wolfsburg-Stadt,,K03103,11584
1998,Wolfsburg-Stadt,maennlich,K03103,6417
1998,Wolfsburg-Stadt,weiblich,K03103,5167
1999,Wolfsburg-Stadt,,K03103,11984
1999,Wolfsburg-Stadt,maennlich,K03103,6610
1999,Wolfsburg-Stadt,weiblich,K03103,5374
2000,Wolfsburg-Stadt,,K03103,11893
2000,Wolfsburg-Stadt,maennlich,K03103,6556
2000,Wolfsburg-Stadt,weiblich,K03103,5337
2001,Wolfsburg-Stadt,,K03103,12189
2001,Wolfsburg-Stadt,maennlich,K03103,6789
2001,Wolfsburg-Stadt,weiblich,K03103,5400
2002,Wolfsburg-Stadt,,K03103,12575
2002,Wolfsburg-Stadt,maennlich,K03103,7051
2002,Wolfsburg-Stadt,weiblich,K03103,5524
2003,Wolfsburg-Stadt,,K03103,12790
2003,Wolfsburg-Stadt,maennlich,K03103,7203
2003,Wolfsburg-Stadt,weiblich,K03103,5587
2004,Wolfsburg-Stadt,,K03103,12250
2004,Wolfsburg-Stadt,maennlich,K03103,6666
2004,Wolfsburg-Stadt,weiblich,K03103,5584
2005,Wolfsburg-Stadt,,K03103,11986
2005,Wolfsburg-Stadt,maennlich,K03103,6429
2005,Wolfsburg-Stadt,weiblich,K03103,5557
2006,Wolfsburg-Stadt,,K03103,11941
2006,Wolfsburg-Stadt,maennlich,K03103,6328
2006,Wolfsburg-Stadt,weiblich,K03103,5613
2007,Wolfsburg-Stadt,,K03103,11772
2007,Wolfsburg-Stadt,maennlich,K03103,6223
2007,Wolfsburg-Stadt,weiblich,K03103,5549
2008,Wolfsburg-Stadt,,K03103,11824
2008,Wolfsburg-Stadt,maennlich,K03103,6256
2008,Wolfsburg-Stadt,weiblich,K03103,5568
2009,Wolfsburg-Stadt,,K03103,11796
2009,Wolfsburg-Stadt,maennlich,K03103,6221
2009,Wolfsburg-Stadt,weiblich,K03103,5575
2010,Wolfsburg-Stadt,,K03103,11804
2010,Wolfsburg-Stadt,maennlich,K03103,6184
2010,Wolfsburg-Stadt,weiblich,K03103,5620
2011,Wolfsburg-Stadt,,K03103,12080
2011,Wolfsburg-Stadt,maennlich,K03103,6335
2011,Wolfsburg-Stadt,weiblich,K03103,5745
2012,Wolfsburg-Stadt,,K03103,12680
2012,Wolfsburg-Stadt,maennlich,K03103,6693
2012,Wolfsburg-Stadt,weiblich,K03103,5987
2013,Wolfsburg-Stadt,,K03103,14017
2013,Wolfsburg-Stadt,maennlich,K03103,7489
2013,Wolfsburg-Stadt,weiblich,K03103,6528
2014,Wolfsburg-Stadt,,K03103,15224
2014,Wolfsburg-Stadt,maennlich,K03103,8133
2014,Wolfsburg-Stadt,weiblich,K03103,7091
2015,Wolfsburg-Stadt,,K03103,16966
2015,Wolfsburg-Stadt,maennlich,K03103,9241
2015,Wolfsburg-Stadt,weiblich,K03103,7725
2016,Wolfsburg-Stadt,,K03103,17770
2016,Wolfsburg-Stadt,maennlich,K03103,9735
