Year,Gebietseinheit,Statistik,GeoCode,Value
2017,Stade Hansestad,Veranschl. Kosten des Bauwerkes (1000 Euro),,44064
2017,Stade (oh.Stade,Veranschl. Kosten des Bauwerkes (1000 Euro),,208873
2017,Uelzen,Veranschl. Kosten des Bauwerkes (1000 Euro),,73112
2017,Verden,Veranschl. Kosten des Bauwerkes (1000 Euro),,130256
2017,Weser-Ems,Veranschl. Kosten des Bauwerkes (1000 Euro),,2997330
2017,Delmenhorst Sta,Veranschl. Kosten des Bauwerkes (1000 Euro),,40399
2017,Emden Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,19955
2017,Oldenburg(Oldb),Veranschl. Kosten des Bauwerkes (1000 Euro),,200193
2017,Osnabrück Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,85119
2017,Wilhelmshaven S,Veranschl. Kosten des Bauwerkes (1000 Euro),,19085
2017,Ammerland,Veranschl. Kosten des Bauwerkes (1000 Euro),,233310
2017,Aurich,Veranschl. Kosten des Bauwerkes (1000 Euro),,148157
2017,Cloppenburg,Veranschl. Kosten des Bauwerkes (1000 Euro),,223328
2017,Emsland,Veranschl. Kosten des Bauwerkes (1000 Euro),,611555
2017,Lingen (Ems) St,Veranschl. Kosten des Bauwerkes (1000 Euro),,102521
2017,Emsland (oh. Li,Veranschl. Kosten des Bauwerkes (1000 Euro),,509034
2017,Friesland,Veranschl. Kosten des Bauwerkes (1000 Euro),,114599
2017,Grafschaft Bent,Veranschl. Kosten des Bauwerkes (1000 Euro),,175959
2017,Nordhorn Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,57121
2017,Grfsch.Bentheim,Veranschl. Kosten des Bauwerkes (1000 Euro),,118838
2017,Leer,Veranschl. Kosten des Bauwerkes (1000 Euro),,145807
2017,Oldenburg,Veranschl. Kosten des Bauwerkes (1000 Euro),,116542
2017,Osnabrück,Veranschl. Kosten des Bauwerkes (1000 Euro),,392290
2017,Melle Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,64241
2017,Osnabrück (oh.M,Veranschl. Kosten des Bauwerkes (1000 Euro),,328049
2017,Vechta,Veranschl. Kosten des Bauwerkes (1000 Euro),,345546
2017,Wesermarsch,Veranschl. Kosten des Bauwerkes (1000 Euro),,62519
2017,Wittmund,Veranschl. Kosten des Bauwerkes (1000 Euro),,62967
2017,Niedersachsen,Wohnungen insgesamt,K00,31350
2017,Braunschweig,Wohnungen insgesamt,K01,4840
2017,Braunschweig St,Wohnungen insgesamt,K0101,570
2017,Salzgitter Stad,Wohnungen insgesamt,K0102,118
2017,Wolfsburg Stadt,Wohnungen insgesamt,K0103,847
2017,Gifhorn,Wohnungen insgesamt,K0151,831
2017,Goslar,Wohnungen insgesamt,K0153,92
2017,Goslar Stadt,Wohnungen insgesamt,K0153017,18
2017,Goslar (oh. Gos,Wohnungen insgesamt,K0153900,74
2017,Helmstedt,Wohnungen insgesamt,K0154,246
2017,Northeim,Wohnungen insgesamt,K0155,346
2017,Peine,Wohnungen insgesamt,K0157,677
2017,Peine Stadt,Wohnungen insgesamt,K0157006,271
2017,Peine (oh. Pein,Wohnungen insgesamt,K0157900,406
2017,Wolfenbüttel,Wohnungen insgesamt,K0158,275
2017,Wolfenbüttel St,Wohnungen insgesamt,K0158037,119
2017,Wolfenbüttel (o,Wohnungen insgesamt,K0158900,156
2017,Göttingen,Wohnungen insgesamt,K0159,838
2017,Göttingen Stadt,Wohnungen insgesamt,K0159016,353
2017,Göttingen (oh.,Wohnungen insgesamt,K0159900,485
2017,Hannover,Wohnungen insgesamt,K02,5886
2017,Hannover Region,Wohnungen insgesamt,K0241,3593
2017,Hannover Landes,Wohnungen insgesamt,K0241001,1394
2017,Garbsen Stadt,Wohnungen insgesamt,K0241005,299
2017,Langenhagen Sta,Wohnungen insgesamt,K0241010,234
2017,Hann.Reg.(oh.Ha,Wohnungen insgesamt,K0241900,1666
2017,Diepholz,Wohnungen insgesamt,K0251,750
2017,Hameln-Pyrmont,Wohnungen insgesamt,K0252,141
2017,Hameln Stadt,Wohnungen insgesamt,K0252006,66
2017,Hameln-Pyrmont,Wohnungen insgesamt,K0252900,75
2017,Hildesheim,Wohnungen insgesamt,K0254,594
2017,Hildesheim Stad,Wohnungen insgesamt,K0254021,217
2017,Hildesheim(oh.H,Wohnungen insgesamt,K0254900,377
2017,Holzminden,Wohnungen insgesamt,K0255,58
2017,Nienburg (Weser,Wohnungen insgesamt,K0256,345
2017,Schaumburg,Wohnungen insgesamt,K0257,405
2017,Lüneburg,Wohnungen insgesamt,K03,7589
2017,Celle,Wohnungen insgesamt,K0351,654
2017,Celle Stadt,Wohnungen insgesamt,K0351006,145
2017,Celle (oh.Celle,Wohnungen insgesamt,K0351900,509
2017,Cuxhaven,Wohnungen insgesamt,K0352,760
2017,Cuxhaven Stadt,Wohnungen insgesamt,K0352011,181
2017,Cuxhaven (oh. C,Wohnungen insgesamt,K0352900,579
2017,Harburg,Wohnungen insgesamt,K0353,1475
2017,Lüchow-Dannenbe,Wohnungen insgesamt,K0354,158
2017,Lüneburg,Wohnungen insgesamt,K0355,613
2017,Lüneburg Hanses,Wohnungen insgesamt,K0355022,158
2017,Lüneburg (oh. L,Wohnungen insgesamt,K0355900,455
2017,Osterholz,Wohnungen insgesamt,K0356,595
2017,Rotenburg (Wümm,Wohnungen insgesamt,K0357,761
2017,Heidekreis,Wohnungen insgesamt,K0358,545
2017,Stade,Wohnungen insgesamt,K0359,1224
2017,Stade Hansestad,Wohnungen insgesamt,K0359038,178
2017,Stade (oh.Stade,Wohnungen insgesamt,K0359900,1046
2017,Uelzen,Wohnungen insgesamt,K0360,217
2017,Verden,Wohnungen insgesamt,K0361,587
2017,Weser-Ems,Wohnungen insgesamt,K04,13035
2017,Delmenhorst Sta,Wohnungen insgesamt,K0401,164
2017,Emden Stadt,Wohnungen insgesamt,K0402,60
2017,Oldenburg(Oldb),Wohnungen insgesamt,K0403,1197
2017,Osnabrück Stadt,Wohnungen insgesamt,K0404,430
2017,Wilhelmshaven S,Wohnungen insgesamt,K0405,82
2017,Ammerland,Wohnungen insgesamt,K0451,1017
2017,Aurich,Wohnungen insgesamt,K0452,838
2017,Cloppenburg,Wohnungen insgesamt,K0453,946
2017,Emsland,Wohnungen insgesamt,K0454,2265
2017,Lingen (Ems) St,Wohnungen insgesamt,K0454032,597
2017,Emsland (oh. Li,Wohnungen insgesamt,K0454900,1668
2017,Friesland,Wohnungen insgesamt,K0455,606
2017,Grafschaft Bent,Wohnungen insgesamt,K0456,744
2017,Nordhorn Stadt,Wohnungen insgesamt,K0456015,297
2017,Grfsch.Bentheim,Wohnungen insgesamt,K0456900,447
2017,Leer,Wohnungen insgesamt,K0457,829
2017,Oldenburg,Wohnungen insgesamt,K0458,543
